HRGcode	HRGdesc	"Cardiac (0=No, 1=Yes, 2=Ambiguous)"	"ProcComplications (0=No, 1=Yes)"	Yr98	Yr00	Yr01	Yr02	Yr03	Yr04	Yr05	Yr06	Yr07	Yr08	Yr09	Yr10	Yr11
F54	Inflammatory Bowel Disease - Endoscopic or Intermediate Procedures <70 w/o cc	0	0				1	1	1	1	1	1	1	1	1	1
F55	Inflammatory Bowel Disease >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F56	Inflammatory Bowel Disease <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F61	Gastrointestinal Bleed - Very Major Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F62	Gastrointestinal Bleed - Major or Therapeutic Endoscopic Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F63	Gastrointestinal Bleed - Diagnostic Endoscopic or Intermediate Procs.	0	0	1	1	1										
F63	Gastrointestinal Bleed - Diagnostic Endoscopic or Intermediate Procedures	0	0				1	1	1	1	1	1	1	1	1	1
F64	Gastrointestinal Bleed >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F65	Gastrointestinal Bleed <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F71	Abdominal Hernia Procedures >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F72	Abdominal Hernia Procedures <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F73	Inguinal Umbilical or Femoral Hernia Repairs >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F74	Inguinal Umbilical or Femoral Hernia Repairs <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F75	Herniotomy Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F76	Hernia Disorders >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F77	Hernia Disorders <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F81	Appendicectomy Procedures >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F82	Appendicectomy Procedures <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F83	Appendix Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F91	Anus - Major Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F92	Anus - Intermediate Procedures >49 or w cc	0	0	1	1	1	1									
F92	Anus - Intermediate Procedures >69 or w cc	0	0					1	1	1	1	1	1	1	1	1
F93	Anus - Intermediate Procedures <50 w/o cc	0	0	1	1	1	1									
F93	Anus - Intermediate Procedures <70 w/o cc	0	0					1	1	1	1	1	1	1	1	1
F94	Anus - Minor Procedures >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F95	Anus - Minor Procedures <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F96	Anal Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F98	Chemotherapy with a Digestive System Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
F99	Complex Elderly with Digestive System Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G01	Liver Transplant	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G02	Liver - Complex Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G03	Liver - Very Major Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G04	Liver - Major Procedures >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G05	Liver - Major Procedures <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G06	Acute Liver Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G07	Chronic Liver Disorders >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G08	Chronic Liver Disorders <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G11	Biliary Tract - Complex Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G12	Biliary Tract - Very Major Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G13	Biliary Tract - Major Procedures >69 or w cc	0	0	1	1	1	1									
G13	Cholecystectomy >69 or w cc	0	0					1	1	1	1	1	1	1	1	1
G14	Biliary Tract - Major Procedures <70 w/o cc	0	0	1	1	1	1									
G14	Cholecystectomy <70 w/o cc	0	0					1	1	1	1	1	1	1	1	1
G15	Therapeutic Pancreatic or Biliary Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G16	Diagnostic Pancreatic or Biliary Procedures w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G17	Diagnostic Pancreatic or Biliary Procedures w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G18	Biliary Tract Disorders >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G19	Biliary Tract Disorders <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G20	Biliary Tract Neoplasms	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G21	Pancreas - Complex Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G22	Pancreas - Very Major Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G23	Pancreatic Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G24	Chronic Pancreatic Disease >69	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G25	Chronic Pancreatic Disease <70	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
G26	Therapeutic Pancreatic or Billary Procedures with Neoplasms	0	0					1	1	1	1	1	1	1	1	1
G27	Procedures on the Spleen	0	0					1	1	1	1	1	1	1	1	1
G98	Chemotherapy with Hepato-Biliary or Pancreatic System Primary Diag.	0	0	1	1	1										
G98	Chemotherapy with a Hepato-Biliary or Pancreatic System Primary Diagnosis	0	0				1	1	1	1	1	1	1	1	1	1
G99	Complex Elderly with Hepato-Biliary or Pancreatic Sys. Primary Diag.	0	0	1	1	1										
G99	Complex Elderly with a Hepato-Biliary or Pancreatic System Primary Diagnosis	0	0				1	1	1	1	1	1	1	1	1	1
H01	Bilateral Primary Hip Replacement	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H02	Primary Hip Replacement	0	0	1	1	1	1									
H03	Bilateral Primary Knee Replacement	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H04	Primary Knee Replacement	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H05	Complex Hip or Knee Revisions	0	0	1	1	1	1									
H06	Revisional Procedures to Hips or Knees	0	0	1	1	1	1									
H07	Primary or Revisional Shoulder Elbow or Ankle Replacements	0	0	1	1	1										
H07	"Primary or Revisional Shoulder, Elbow, or Ankle Replacements"	0	0				1	1	1	1	1	1	1	1	1	1
H08	Joint Replacements or Revisions Site Unspecified	0	0	1	1	1										
H08	"Joint Replacements or Revisions, Site Unspecified"	0	0				1	1	1	1	1	1	1	1	1	1
H09	Anterior Cruciate Ligament Reconstruction	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H10	Arthroscopies	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H11	Foot Procedures - Category 1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H12	Foot Procedures - Category 2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H13	Hand Procedures - Category 1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H14	Hand Procedures - Category 2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H15	Hand Procedures - Category 3	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H16	Soft Tissue or Other Bone Procedures - Category 1 >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H17	Soft Tissue or Other Bone Procedures - Category 1 <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H18	Soft Tissue or Other Bone Procedures - Category 2 >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H19	Soft Tissue or Other Bone Procedures - Category 2 <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H20	Muscle Tendon or Ligament Procedures - Category 1	0	0	1	1	1										
H20	"Muscle, Tendon or Ligament Procedures - Category 1"	0	0				1	1	1	1	1	1	1	1	1	1
H21	Muscle Tendon or Ligament Procedures - Category 2	0	0	1	1	1										
H21	"Muscle, Tendon or Ligament Procedures - Category 2"	0	0				1	1	1	1	1	1	1	1	1	1
H22	Minor Procedures to the Musculoskeletal System	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H23	Soft Tissue Disorders >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H24	Soft Tissue Disorders <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H25	Inflammatory Spine Joint or Connective Tissue Disorders >69 or w cc	0	0	1	1	1										
H25	"Inflammatory Spine, Joint or Connective Tissue Disorders >69 or w cc"	0	0				1	1	1	1	1	1	1	1	1	1
H26	Inflammatory Spine Joint or Connective Tissue Disorders <70 w/o cc	0	0	1	1	1										
H26	"Inflammatory Spine, Joint or Connective Tissue Disorders <70 w/o cc"	0	0				1	1	1	1	1	1	1	1	1	1
H27	Non-Inflammatory Back Bone or Joint Disorders >69 or w cc	0	0	1	1	1										
H27	"Non-Inflammatory Back, Bone, or Joint Disorders >69 or w cc"	0	0				1									
H27	Non-Inflammatory Bone or Joint Disorders >69 or w cc	0	0					1	1	1	1	1	1	1	1	1
H28	Non-Inflammatory Back Bone or Joint Disorders <70 w/o cc	0	0	1	1	1										
H28	"Non-Inflammatory Back, Bone, or Joint Disorders <70 w/o cc"	0	0				1									
H28	Non-Inflammatory Bone or Joint Disorders <70 w/o cc	0	0					1	1	1	1	1	1	1	1	1
H29	Congenital Hip Dislocation with Open Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H30	Infections of Bones or Joints	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H31	Musculoskeletal Signs and Symptoms >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H32	Musculoskeletal Signs and Symptoms <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H33	Neck of Femur Fracture >69 or w cc	0	0	1	1	1	1									
H34	Neck of Femur Fracture <70 w/o cc	0	0	1	1	1	1									
H35	Open Lower Limb Fractures or Dislocations	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H36	Closed Pelvis or Lower Limb Fractures >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H37	Closed Pelvis or Lower Limb Fractures <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H38	Open Upper Limb Fractures or Dislocations	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H39	Closed Upper Limb Fractures or Dislocations >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H40	Closed Upper Limb Fractures or Dislocations <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H41	Sprains Strains or Minor Open Wounds >69 or w cc	0	0	1	1	1										
H41	"Sprains, Strains, or Minor Open Wounds >69 or w cc"	0	0				1	1	1	1	1	1	1	1	1	1
H42	Sprains Strains or Minor Open Wounds <70 w/o cc	0	0	1	1	1										
H42	"Sprains, Strains, or Minor Open Wounds <70 w/o cc"	0	0				1	1	1	1	1	1	1	1	1	1
H43	Major Cranial Visceral or Blood Vessel Injury >69 or w cc	0	0	1	1	1										
H43	"Major Cranial, Visceral or Blood Vessel Injury >69 or w cc"	0	0				1	1	1	1	1	1	1	1	1	1
H44	Major Cranial Visceral or Blood Vessel Injury <70 w/o cc	0	0	1	1	1										
H44	"Major Cranial, Visceral or Blood Vessel Injury <70 w/o cc"	0	0				1	1	1	1	1	1	1	1	1	1
H45	Minor Fractures or Dislocations	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H46	Brachial or Lumbar Plexus Injury or Complex Traumatic Amputations	0	0	1	1	1										
H46	"Brachial or Lumbar Plexus Injury, or Complex Traumatic Amputations"	0	0				1									
H47	Traumatic Amputations	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H48	Other Wounds or Injuries	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H49	Multiple Injury >69	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H50	Multiple Injury <70	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H51	Removal of Fixation Device >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H52	Removal of Fixation Device <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H53	Path. Fractures or Malig. of Bone and Connective Tiss. >69 or w cc	0	0	1	1	1										
H53	Pathological Fractures or Malignancy of Bone and Connective Tissue >69 or w cc	0	0				1	1	1	1	1	1	1	1	1	1
H54	Path. Fractures or Malig. of Bone and Connective Tissue <70 w/o cc	0	0	1	1	1										
H54	Pathological Fractures or Malignancy of Bone and Connective Tissue <70 w/o cc	0	0				1	1	1	1	1	1	1	1	1	1
H63	Head Injury >69 or w cc	0	0					1	1	1	1	1	1	1	1	1
H64	Head Injury <70 w/o cc	0	0					1	1	1	1	1	1	1	1	1
H70	Resurfacing of Hip	0	0					1	1	1	1	1	1	1	1	1
H71	Revisional Procedures to Hips	0	0					1	1	1	1	1	1	1	1	1
H72	Revisional Procedures to Knees	0	0					1	1	1	1	1	1	1	1	1
H80	Primary Hip Replacement Cemented	0	0					1	1	1	1	1	1	1	1	1
H81	Primary Hip Replacement Uncemented	0	0					1	1	1	1	1	1	1	1	1
H82	Extracapsular Neck of Femur Fracture with Fixation w cc	0	0					1	1	1	1	1	1	1	1	1
H83	Extracapsular Neck of Femur Fracture with Fixation w/o cc	0	0					1	1	1	1	1	1	1	1	1
H84	Intracapsular Neck of Femur Fracture with Fixation w cc	0	0					1	1	1	1	1	1	1	1	1
H85	Intracapsular Neck of Femur Fracture with Fixation w/o cc	0	0					1	1	1	1	1	1	1	1	1
H86	Neck of Femur Fracture with Hip Replacement w cc	0	0					1	1	1	1	1	1	1	1	1
H87	Neck of Femur Fracture with Hip Replacement w/o cc	0	0					1	1	1	1	1	1	1	1	1
H88	Other Neck of Femur Fracture w cc	0	0					1	1	1	1	1	1	1	1	1
H89	Other Neck of Femur Fracture w/o cc	0	0					1	1	1	1	1	1	1	1	1
H98	Chemotherapy with a Musculoskeletal System Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H99	Complex Elderly with a Musculoskeletal System Primary Diagnosis	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J01	Complex Breast Reconstruction using Flaps	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J02	Major Breast Surgery including Plastic Procedures >49 or w cc	0	0	1	1	1	1									
J03	Major Breast Surgery including Plastic Procedures <50 w/o cc	0	0	1	1	1	1									
J04	Intermediate Breast Surgery >49 or w cc	0	0	1	1	1	1									
J04	Intermediate Breast Surgery w cc	0	0					1	1	1	1	1	1	1	1	1
J05	Intermediate Breast Surgery <50 w/o cc	0	0	1	1	1	1									
J05	Intermediate Breast Surgery w/o cc	0	0					1	1	1	1	1	1	1	1	1
J06	Minor Breast Surgery >69 or w cc	0	0	1	1	1	1									
J06	Minor Breast Surgery w cc	0	0					1	1	1	1	1	1	1	1	1
J07	Minor Breast Surgery <70 w/o cc	0	0	1	1	1	1									
J07	Minor Breast Surgery w/o cc	0	0					1	1	1	1	1	1	1	1	1
J08	Non-Malignant Breast Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J09	Malignant Breast Disorders >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J10	Malignant Breast Disorders <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J11	Lymph Dissection Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J12	Soft Tissue Procedures	0	0	1	1	1	1									
J12	Drainage of Ascites	0	0					1	1	1	1	1	1	1	1	1
J13	Major Burn >19% TBSA without Significant Graft Procedure >69	0	0	1												
J13	Major Burn>29% TBSA without Significant Graft Procedure >49	0	0		1	1										
J13	Major Burn >29% TBSA without Significant Graft Procedure >49	0	0				1	1	1	1	1	1	1	1	1	1
J14	Major Burn >19% TBSA without Significant Graft Procedure >16 <70	0	0	1												
J14	Major Burn>29% TBSA without Significant Graft Procedure >16 <50	0	0		1	1										
J14	Major Burn >29% TBSA without Significant Graft Procedure >16 <50	0	0				1									
J14	Major Burn >29% TBSA without Significant Graft Procedure >18 <50	0	0					1	1	1	1	1	1	1	1	1
J15	Major Burn >19% TBSA without Significant Graft Procedure <17	0	0	1												
J15	Major Burn>29% TBSA without Significant Graft Procedure <17	0	0		1	1										
J15	Major Burn >29% TBSA without Significant Graft Procedure <17	0	0				1									
J15	Major Burn >29% TBSA without Significant Graft Procedure <19	0	0					1	1	1	1	1	1	1	1	1
J16	Major Burn >19% TBSA with Significant Graft Procedure >69	0	0	1												
J16	Major Burn>29% TBSA with Significant Graft Procedure >49	0	0		1	1										
J16	Major Burn >29% TBSA with Significant Graft Procedure >49	0	0				1	1	1	1	1	1	1	1	1	1
J17	Major Burn >19% TBSA with Significant Graft Procedure >16 <70	0	0	1												
J17	Major Burn>29% TBSA with Significant Graft Procedure >16 <50	0	0		1	1										
J17	Major Burn >29% TBSA with Significant Graft Procedure >16 <50	0	0				1									
J17	Major Burn >29% TBSA with Significant Graft Procedure >18 <50	0	0					1	1	1	1	1	1	1	1	1
J18	Major Burn >19% TBSA with Significant Graft Procedure <17	0	0	1	1	1										
J18	Major Burn >29% TBSA with Significant Graft Procedure <17	0	0				1									
J18	Major Burn >29% TBSA with Significant Graft Procedure <19	0	0					1	1	1	1	1	1	1	1	1
J19	Other Burn with Inhalation Injury	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J20	Other Burn with 1 Significant Graft Procedure >69	0	0	1												
J20	Other Burn with 1 Significant Graft Procedure >49	0	0		1	1	1	1	1	1	1	1	1	1	1	1
J21	Other Burn with 1 Significant Graft Procedure >16 <70	0	0	1												
J21	Other Burn with 1 Significant Graft Procedure >16 <50	0	0		1	1	1									
J21	Other Burn with 1 Significant Graft Procedure >18 <50	0	0					1	1	1	1	1	1	1	1	1
J22	Other Burn with 1 Significant Graft Procedure <17	0	0	1	1	1	1									
J22	Other Burn with 1 Significant Graft Procedure <19	0	0					1	1	1	1	1	1	1	1	1
J23	Other Burn with Multiple Significant Graft Procedures >69	0	0	1												
J23	Other Burn with Multiple Significant Graft Procedures >49	0	0		1	1	1	1	1	1	1	1	1	1	1	1
J24	Other Burn with Multiple Significant Graft Procedures >16 <70	0	0	1												
J24	Other Burn with Multiple Significant Graft Procedures >16 <50	0	0		1	1	1									
J24	Other Burn with Multiple Significant Graft Procedures >18 <50	0	0					1	1	1	1	1	1	1	1	1
J25	Other Burn with Multiple Significant Graft Procedures <17	0	0	1	1	1	1									
J25	Other Burn with Multiple Significant Graft Procedures <19	0	0					1	1	1	1	1	1	1	1	1
J26	Other Burn without Significant Graft Procedure >69	0	0	1												
J26	Other Burn without Significant Graft Procedure >49	0	0		1	1	1	1	1	1	1	1	1	1	1	1
J27	Other Burn without Significant Graft Procedure >16 <70	0	0	1												
J27	Other Burn without Significant Graft Procedure >16 <50	0	0		1	1	1									
J27	Other Burn without Significant Graft Procedure >18 <50	0	0					1	1	1	1	1	1	1	1	1
J28	Other Burn without Significant Graft Procedure <17	0	0	1	1	1	1									
J28	Other Burn without Significant Graft Procedure <19	0	0					1	1	1	1	1	1	1	1	1
J29	Major Reconstructive Surgery	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J30	Major Skin Procedures >49 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J31	Major Skin Procedures <50 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J32	Intermediate Skin Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J33	Minor Skin Procedures - Category 3	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J34	Minor Skin Procedures - Category 2 w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J35	Minor Skin Procedures - Category 2 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J36	Minor Skin Procedures - Category 1 w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J37	Minor Skin Procedures - Category 1 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J38	Skin Ulcers	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J39	Major Dermatological Conditions >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J40	Major Dermatological Conditions <70 w/o cc 	0	0	1	1	1	1									
J40	Major Dermatological Conditions <70 w/o cc	0	0					1	1	1	1	1	1	1	1	1
J41	Major Skin Infections >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J42	Major Skin Infections <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J43	Major Skin Tumours	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J44	Minor Dermatological Conditions or Benign Tumours	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J45	Minor Skin Infections	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
J46	Total Mastectomy w cc	0	0					1	1	1	1	1	1	1	1	1
J47	Total Mastectomy w/o cc	0	0					1	1	1	1	1	1	1	1	1
J48	Partial/Subtotal Mastectomy w cc	0	0					1	1	1	1	1	1	1	1	1
J49	Partial/Subtotal Mastectomy w/o cc	0	0					1	1	1	1	1	1	1	1	1
J50	Other Major Breast Surgery	0	0					1	1	1	1	1	1	1	1	1
J98	Chemotherapy with a Skin Breast or Burn Primary Diagnosis	0	0	1	1	1										
J98	"Chemotherapy with a Skin, Breast or Burn Primary Diagnosis"	0	0				1	1	1	1	1	1	1	1	1	1
J99	Complex Elderly with a Skin Breast or Burn Primary Diagnosis	0	0	1	1	1										
J99	"Complex Elderly with a Skin, Breast or Burn Primary Diagnosis"	0	0				1	1	1	1	1	1	1	1	1	1
K01	Thyroid Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K02	Parathyroid Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K03	Adrenal Procedures	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K04	Anterior Pituitary Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K05	Other Endocrine Disorders >69 or w cc	0	0	1	1	1	1									
K06	Other Endocrine Disorders <70 w/o cc	0	0	1	1	1	1									
K07	Fluid or Electrolyte Disorders >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K08	Fluid or Electrolyte Disorders <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K09	Disorders of Nutrition	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K10	Inborn Errors of Metabolism	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K11	Diabetes with Hypoglycaemic Emergency >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K12	Diabetes with Hypoglycaemic Emergency <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K13	Diabetes with Hyperglycaemic Emergency >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K14	Diabetes with Hyperglycaemic Emergency <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K15	Diabetes and Other Hyperglycaemic Disorder >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K16	Diabetes and Other Hyperglycaemic Disorder <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K17	Diabetes with Lower Limb Complications	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
K18	Non Pituaritary Endocrine Neoplasms >69 or w cc	0	0					1	1	1	1	1	1	1	1	1
K19	Non Pituaritary Endocrine Neoplasms <70 w/o cc	0	0					1	1	1	1	1	1	1	1	1
K20	Non Surgical Thyroid Disorders >69 or w cc	0	0					1	1	1	1	1	1	1	1	1
K21	Non Surgical Thyroid Disorders <70 w/o cc	0	0					1	1	1	1	1	1	1	1	1
K22	Other Endocrine Disorders >69 or w cc	0	0					1	1	1	1	1	1	1	1	1
K23	Other Endocrine Disorders < 70 w/o cc	0	0					1	1	1	1	1	1	1	1	1
K98	Chemotherapy with an Endocrine or Metabolic System Primary Diag.	0	0	1	1	1										
K98	Chemotherapy with an Endocrine or Metabolic System Primary Diagnosis	0	0				1	1	1	1	1	1	1	1	1	1
K99	Complex Elderly with an Endocrine or Metabolic System Primary Diag.	0	0	1	1	1										
K99	Complex Elderly with an Endocrine or Metabolic System Primary Diagnosis	0	0				1	1	1	1	1	1	1	1	1	1
L01	Kidney Transplant	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L02	Kidney Major Open Procedure >49 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L03	Kidney Major Open Procedure <50 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L04	Kidney Major Endoscopic Procedure	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L05	Kidney Intermediate Endoscopic Procedure >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L06	Kidney Intermediate Endoscopic Procedure <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L07	Non OR Admission for Kidney or Urinary Tract Neoplasms >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L08	Non OR Admission for Kidney or Urinary Tract Neoplasms <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L09	Kidney or Urinary Tract Infections >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L10	Kidney or Urinary Tract Infections <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L11	Ureter Open Procedure	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L12	Ureter Major Endoscopic Procedure	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L13	Ureter Intermediate Endoscopic Procedure	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L14	Bladder Major Open Procedures or Reconstruction	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L15	Cystectomy or Urinary Diversion excluding Reconstruction	0	0	1	1	1	1									
L15	Urinary Diversion without Cystectomy	0	0					1	1	1	1	1	1	1	1	1
L16	Bladder Intermediate Open Procedure	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L17	Bladder Major Endoscopic Procedure	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L18	Bladder Intermediate Endoscopic Procedure w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L19	Bladder Intermediate Endoscopic Procedure w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L20	Bladder Minor Endoscopic Procedure w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L21	Bladder Minor Endoscopic Procedure w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L22	Bladder or Urinary Mechanical Problems >69 or w cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L23	Bladder or Urinary Mechanical Problems <70 w/o cc	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L24	Ureteric or Bladder Disorders	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
L25	Prostate or Bladder Neck Open Proc. (Male and Female) >69 or w cc	0	0	1	1	1										
